id,budget,imdb_id,title,revenue,release_year
862,30000000,tt0114709,Toy Story,373554033.0,1995
8844,65000000,tt0113497,Jumanji,262797249.0,1995
15602,0,tt0113228,Grumpier Old Men,0.0,1995
31357,16000000,tt0114885,Waiting to Exhale,81452156.0,1995
11862,0,tt0113041,Father of the Bride Part II,76578911.0,1995
949,60000000,tt0113277,Heat,187436818.0,1995
11860,58000000,tt0114319,Sabrina,0.0,1995
45325,0,tt0112302,Tom and Huck,0.0,1995
9091,35000000,tt0114576,Sudden Death,64350171.0,1995
710,58000000,tt0113189,GoldenEye,352194034.0,1995
9087,62000000,tt0112346,The American President,107879496.0,1995
12110,0,tt0112896,Dracula: Dead and Loving It,0.0,1995
21032,0,tt0112453,Balto,11348324.0,1995
10858,44000000,tt0113987,Nixon,13681765.0,1995
1408,98000000,tt0112760,Cutthroat Island,10017322.0,1995
524,52000000,tt0112641,Casino,116112375.0,1995
4584,16500000,tt0114388,Sense and Sensibility,135000000.0,1995
5,4000000,tt0113101,Four Rooms,4300000.0,1995
9273,30000000,tt0112281,Ace Ventura: When Nature Calls,212385533.0,1995
11517,60000000,tt0113845,Money Train,35431113.0,1995
8012,30250000,tt0113161,Get Shorty,115101622.0,1995
1710,0,tt0112722,Copycat,0.0,1995
9691,50000000,tt0112401,Assassins,30303072.0,1995
12665,0,tt0114168,Powder,0.0,1995
451,3600000,tt0113627,Leaving Las Vegas,49800000.0,1995
16420,0,tt0114057,Othello,0.0,1995
9263,12000000,tt0114011,Now and Then,27400000.0,1995
17015,0,tt0114117,Persuasion,0.0,1995
902,18000000,tt0112682,La Cité des Enfants Perdus,1738611.0,1995
37557,0,tt0115012,摇啊摇，摇到外婆桥,0.0,1995
9909,0,tt0112792,Dangerous Minds,180000000.0,1995
63,29500000,tt0114746,Twelve Monkeys,168840000.0,1995
78802,0,tt0114952,"Guillaumet, les ailes du courage",0.0,1996
9598,30000000,tt0112431,Babe,254134910.0,1995
47018,0,tt0112637,Carrington,0.0,1995
687,11000000,tt0112818,Dead Man Walking,39363635.0,1995
139405,0,tt0112286,Across the Sea of Time,0.0,1995
33689,0,tt0113442,It Takes Two,0.0,1995
9603,12000000,tt0112697,Clueless,0.0,1995
34615,0,tt0112749,"Cry, the Beloved Country",676525.0,1995
31174,0,tt0114279,Richard III,0.0,1995
11443,10000000,tt0112819,Dead Presidents,0.0,1995
35196,19000000,tt0114272,Restoration,0.0,1995
9312,18000000,tt0113855,Mortal Kombat,122195920.0,1995
577,20000000,tt0114681,To Die For,21284514.0,1995
11861,10000000,tt0113347,How To Make An American Quilt,23574130.0,1995
807,33000000,tt0114369,Se7en,327311859.0,1995
10530,55000000,tt0114148,Pocahontas,346079773.0,1995
8391,0,tt0114916,When Night Is Falling,0.0,1995
629,6000000,tt0114814,The Usual Suspects,23341568.0,1995
117164,0,tt0109950,Guardian Angel,0.0,1994
11448,15000000,tt0113819,Mighty Aphrodite,6700000.0,1995
49133,0,tt0110299,Lamerica,0.0,1994
26441,0,tt0112499,The Big Green,0.0,1995
97406,0,tt0113158,Georgia,0.0,1995
