,id,imdb_id,production_company
0,3.0,tt0114709,Pixar Animation Studios
0,559.0,tt0113497,TriStar Pictures
1,2550.0,tt0113497,Teitler Film
2,10201.0,tt0113497,Interscope Communications
0,6194.0,tt0113228,Warner Bros.
1,19464.0,tt0113228,Lancaster Gate
0,306.0,tt0114885,Twentieth Century Fox Film Corporation
0,5842.0,tt0113041,Sandollar Productions
1,9195.0,tt0113041,Touchstone Pictures
0,508.0,tt0113277,Regency Enterprises
1,675.0,tt0113277,Forward Pass
2,6194.0,tt0113277,Warner Bros.
0,4.0,tt0114319,Paramount Pictures
1,258.0,tt0114319,Scott Rudin Productions
2,932.0,tt0114319,Mirage Enterprises
3,5842.0,tt0114319,Sandollar Productions
4,14941.0,tt0114319,Constellation Entertainment
5,55873.0,tt0114319,Worldwide
6,58079.0,tt0114319,Mont Blanc Entertainment GmbH
0,2.0,tt0112302,Walt Disney Pictures
0,33.0,tt0114576,Universal Pictures
1,21437.0,tt0114576,Imperial Entertainment
2,23770.0,tt0114576,Signature Entertainment
0,60.0,tt0113189,United Artists
1,7576.0,tt0113189,Eon Productions
0,5.0,tt0112346,Columbia Pictures
1,97.0,tt0112346,Castle Rock Entertainment
0,5.0,tt0112896,Columbia Pictures
1,97.0,tt0112896,Castle Rock Entertainment
2,6368.0,tt0112896,Enigma Pictures
0,33.0,tt0112453,Universal Pictures
1,56.0,tt0112453,Amblin Entertainment
2,4105.0,tt0112453,Amblimation
0,915.0,tt0113987,Hollywood Pictures
1,1504.0,tt0113987,Cinergi Pictures Entertainment
0,183.0,tt0112760,Le Studio Canal+
1,415.0,tt0112760,Laurence Mark Productions
2,8411.0,tt0112760,Metro-Goldwyn-Mayer (MGM)
3,14723.0,tt0112760,Carolco Pictures
0,33.0,tt0112641,Universal Pictures
1,10898.0,tt0112641,Légende Entreprises
2,11583.0,tt0112641,Syalis DA
3,11584.0,tt0112641,De Fina-Cappa
0,441.0,tt0114388,Columbia Pictures Corporation
1,932.0,tt0114388,Mirage Enterprises
0,14.0,tt0113101,Miramax Films
1,59.0,tt0113101,A Band Apart
0,5682.0,tt0112281,O Entertainment
1,6194.0,tt0112281,Warner Bros.
2,10210.0,tt0112281,Morgan Creek Productions
0,5.0,tt0113845,Columbia Pictures
0,216.0,tt0113161,Jersey Films
1,8411.0,tt0113161,Metro-Goldwyn-Mayer (MGM)
0,508.0,tt0112722,Regency Enterprises
1,10104.0,tt0112722,New Regency Pictures
0,1885.0,tt0112401,Silver Pictures
1,5358.0,tt0112401,Canal+
2,6194.0,tt0112401,Warner Bros.
3,10308.0,tt0112401,Dino De Laurentiis Company
4,23397.0,tt0112401,Donner/Shuler-Donner Productions
5,25061.0,tt0112401,Evansgideon/Lazar
0,175.0,tt0114168,Caravan Pictures
1,915.0,tt0114168,Hollywood Pictures
0,60.0,tt0113627,United Artists
1,15547.0,tt0113627,Intial Productions
0,5.0,tt0114057,Columbia Pictures
1,97.0,tt0114057,Castle Rock Entertainment
0,12.0,tt0114011,New Line Cinema
0,288.0,tt0114117,BBC Films
0,311.0,tt0112682,Procirep
1,590.0,tt0112682,Constellation Productions
2,591.0,tt0112682,France 3 Cinéma
3,592.0,tt0112682,Claudie Ossard Productions
4,850.0,tt0112682,Eurimages
5,851.0,tt0112682,MEDIA Programme of the European Union
6,1871.0,tt0112682,Cofimage 5
7,6639.0,tt0112682,Televisión Española (TVE)
8,7237.0,tt0112682,Tele München Fernseh Produktionsgesellschaft (TMG)
9,8170.0,tt0112682,Club d'Investissement Média
10,9335.0,tt0112682,Canal+ España
11,12009.0,tt0112682,Elías Querejeta Producciones Cinematográficas S.L.
12,18367.0,tt0112682,Centre National de la Cinématographie (CNC)
13,25020.0,tt0112682,Victoires Productions
14,25021.0,tt0112682,Constellation
15,25129.0,tt0112682,Lumière Pictures
16,47532.0,tt0112682,Canal+
17,68517.0,tt0112682,Studio Image
18,79437.0,tt0112682,Cofimage 4
19,79438.0,tt0112682,Ossane
20,79439.0,tt0112682,Phoenix Images
0,2588.0,tt0115012,Ministère des Affaires Étrangères
1,4507.0,tt0115012,Alpha Films
